recordKey,lineNo,date,supplier,invoice,reference,itemType,itemName,expenseCategory,inventoryCategory,assetKey,assetCategory,quantity,unit,sourceUnitPrice,sourceLineAmount,sourceCurrency,rate,lineAmountIqd,invoiceTotalIqd,paymentMode,paymentAccount,branchCode,notes
DOC000135,2,2026-02-17,علي بابا,294938623001025867,DOC000135,INVENTORY,اكياس تغليف اكياس التقطير,PACKAGING,PACKAGING,,,5000,piece,0.104,519.892,USD,1546.019,803763,1495000,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 967. Included fees allocated into item costs: عمولة علي بابا مع نقل داخل الصين.
DOC000135,3,2026-02-17,علي بابا,294938623001025867,DOC000135,INVENTORY,اكياس قهوة تجارية,PACKAGING,PACKAGING,,,2400,piece,0.156,374.323,USD,1546.019,578710,1495000,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 967. Included fees allocated into item costs: عمولة علي بابا مع نقل داخل الصين.
DOC000136,1,2026-02-01,جهى برا,6541,DOC000136,ASSET,رف مخزني2*2*60 4طبقات,EQUIPMENT,,DOC000136-01,Storage equipment,2,piece,119000,238000,IQD,,237933,371995,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Invoice total controls; source detail sum was 372100.
DOC000136,2,2026-02-01,جهى برا,6541,DOC000136,INVENTORY,اكياس دلفري 30*20,PACKAGING,PACKAGING,,,100,piece,127.5,12750,IQD,,12747,371995,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Invoice total controls; source detail sum was 372100.
DOC000136,3,2026-02-01,جهى برا,6541,DOC000136,INVENTORY,اكياس دلفري 45*30,PACKAGING,PACKAGING,,,100,piece,128,12800,IQD,,12796,371995,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Invoice total controls; source detail sum was 372100.
DOC000136,4,2026-02-01,جهى برا,6541,DOC000136,INVENTORY,اكياس دلفري 50*40,PACKAGING,PACKAGING,,,100,piece,128,12800,IQD,,12796,371995,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Invoice total controls; source detail sum was 372100.
DOC000136,5,2026-02-01,جهى برا,6541,DOC000136,INVENTORY,اكياس دلفري 45*60,PACKAGING,PACKAGING,,,100,piece,128,12800,IQD,,12796,371995,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Invoice total controls; source detail sum was 372100.
DOC000136,6,2026-02-01,جهى برا,6541,DOC000136,INVENTORY,علبة بلاستيك لون اسود حجم 500,PACKAGING,PACKAGING,,,150,piece,453,67950,IQD,,67931,371995,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Invoice total controls; source detail sum was 372100.
DOC000136,7,2026-02-01,جهى برا,6541,DOC000136,EXPENSE,غلاية ماء 800 مل,EQUIPMENT,,,,1,piece,15000,15000,IQD,,14996,371995,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Invoice total controls; source detail sum was 372100.
DOC000137,1,2025-12-31,كوكل,5447007936,DOC000137,SERVICE,اشتراك سنوي دومين لهيب,TECH,,,,1,piece,30,30,USD,1340,40200,40200,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 30.
DOC000138,1,2026-01-31,كوكل,5475295714,DOC000138,SERVICE,اشتراك شهري بريد الكتروني,TECH,,,,1,piece,6.1,6.1,USD,1340,8174,8174,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 6.1.
DOC000139,1,2026-02-28,كوكل,5500857482,DOC000139,SERVICE,اشتراك شهري بريد الكتروني,TECH,,,,1,piece,6.3,6.3,USD,1340,8442,8442,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 6.3.
DOC000140,1,2026-03-31,كوكل,5527655767,DOC000140,SERVICE,اشتراك شهري بريد الكتروني,TECH,,,,1,piece,6.3,6.3,USD,1340,8442,8442,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 6.3.
DOC000141,1,2025-10-26,جهى برا,6542,DOC000141,INVENTORY,موكا بوت,EQUIPMENT,ACCESSORY,,,1,piece,22000,22000,IQD,,22000,110000,PAID,Cash on Hands,HQ,
DOC000141,2,2025-10-26,جهى برا,6542,DOC000141,INVENTORY,ايرو بريس,EQUIPMENT,ACCESSORY,,,1,piece,22000,22000,IQD,,22000,110000,PAID,Cash on Hands,HQ,
DOC000141,3,2025-10-26,جهى برا,6542,DOC000141,INVENTORY,V60 سيت تحضير,EQUIPMENT,ACCESSORY,,,1,piece,22000,22000,IQD,,22000,110000,PAID,Cash on Hands,HQ,
DOC000141,4,2025-10-26,جهى برا,6542,DOC000141,INVENTORY,ميزان الكتروني,EQUIPMENT,ACCESSORY,,,1,piece,22000,22000,IQD,,22000,110000,PAID,Cash on Hands,HQ,
DOC000141,5,2025-10-26,جهى برا,6542,DOC000141,INVENTORY,كتلي,EQUIPMENT,ACCESSORY,,,1,piece,22000,22000,IQD,,22000,110000,PAID,Cash on Hands,HQ,
DOC000142,1,2026-04-04,اودو,INV/2026/29604,DOC000142,SERVICE,اشتراك اودو سنوي,TECH,,,,1,piece,130,130,USD,1340,174200,174200,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Invoice total controls; source detail sum was 130.
DOC000143,1,2026-03-14,اوس اكثم,1446,DOC000143,INVENTORY,كوب ورقي لهيب,PACKAGING,PACKAGING,,,3000,piece,190,570000,IQD,,570000,570000,PAID,Cash on Hands,HQ,
DOC000144,1,2026-04-01,سولو ستوديو,بدون فاتورة,DOC000144,SERVICE,دفعة اولى اجور تصميم هوية لهيب,MARKETING,,,,1,piece,3500000,3500000,IQD,,3500000,3500000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000145,1,2026-01-05,جهى برا,6543,DOC000145,INVENTORY,سلفون دائري 70 ملم,PACKAGING,PACKAGING,,,1100,piece,27.273,30000,IQD,,30000,30000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000146,1,2026-01-19,معمل بلاستك الصريح,540453413,DOC000146,INVENTORY,سطل 12 كيلو ابيض,PACKAGING,PACKAGING,,,25,piece,2000,50000,IQD,,50000,50000,PAID,Cash on Hands,HQ,
DOC000147,1,2026-01-19,مكائن سيف,151,DOC000147,ASSET,جهاز كبس سلفون,EQUIPMENT,,DOC000147-01,Packaging equipment,1,piece,150000,150000,IQD,,150000,150000,PAID,Cash on Hands,HQ,Date inferred as 2026-01-19 from the supplier invoice sequence.
DOC000148,1,2026-04-06,دكتور ريكلام,164,DOC000148,INVENTORY,كيس علاكة لوكو لهيب ورقي,PACKAGING,PACKAGING,,,500,piece,370,185000,IQD,,185000,185000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000149,1,2026-04-27,شركة ئافيستا,464,DOC000149,EXPENSE,طابعة حرارية كاشير,TECH,,,,1,piece,93000,93000,IQD,,93000,93000,PAID,Cash on Hands,HQ,
DOC000150,1,2026-04-27,قرطاسية بيكس,24,DOC000150,INVENTORY,ورق ستيكر+ قاطعة يدوي,PACKAGING,PACKAGING,,,3,piece,13333.333,40000,IQD,,40000,40000,PAID,Cash on Hands,HQ,
DOC000151,1,2026-04-28,اسيا سيل,PR2804202610430374,DOC000151,SERVICE,اشتراك انترنت اسياسيل شهري للمحل,UTILITIES,,,,1,piece,40000,40000,IQD,,40000,40000,PAID,Cash on Hands,HQ,
DOC000152,1,2026-05-09,جهى برا,6544,DOC000152,EXPENSE,سلة حديد فرز الشاف عن الحبوب,EQUIPMENT,,,,1,piece,7000,7000,IQD,,7000,7000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000153,1,2026-05-01,علي للتكنلوجيا الحديثة,8510,DOC000153,INVENTORY,ليبل حراري لاصق 80*120,PACKAGING,PACKAGING,,,1,piece,20000,20000,IQD,,20000,20000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Included fees allocated into item costs: اجور توصيل محافظات.
DOC000154,1,2026-05-06,شيمال كروب,60,DOC000154,SERVICE,اجور نقل دولي اكياس تغليف اكياس التقطير,SHIPPING,,,,1,piece,240000,240000,IQD,,240000,240000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000155,1,2026-05-09,سولو ستوديو,بدون فاتورة,DOC000155,SERVICE,دفعة ثانية اجور تصميم هوية لهيب,MARKETING,,,,1,piece,1000000,1000000,IQD,,1000000,1000000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000156,1,2026-04-30,كوكل,5559634697,DOC000156,SERVICE,اشتراك شهري بريد الكتروني,TECH,,,,1,piece,6.3,6.3,USD,1340,8442,8442,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 6.3.
DOC000157,1,2026-05-13,قهوة السرحان,253,DOC000157,ASSET,طاحونة قهوة سورية نحاس,EQUIPMENT,,DOC000157-01,Coffee equipment,1,piece,750000,750000,IQD,,750000,750000,PAID,Cash on Hands,HQ,
DOC000158,1,2026-05-14,عقارات نعمان عولا حاجى,869,DOC000158,SERVICE,دفع ايجار المحل,RENT,,,,1,piece,200000,200000,IQD,,200000,200000,PAID,Cash on Hands,HQ,
DOC000159,1,2026-05-15,عقارات جراى زين,7,DOC000159,SERVICE,دفع تأمينات مع دلالية محل رقم 61,RENT,,,,1,piece,375000,375000,IQD,,375000,375000,PAID,Cash on Hands,HQ,
DOC000160,1,2026-05-15,شوشه واتى مالى زه نكين,7,DOC000160,EXPENSE,طاحونة هيل 150 واط,EQUIPMENT,,,,1,piece,30000,30000,IQD,,30000,30000,PAID,Cash on Hands,HQ,
DOC000161,1,2026-05-14,حذيفة عماد,470,DOC000161,INVENTORY,هيل للطحن MYQ,OVERHEAD,PRODUCTION_SUPPLY,,,5,kg,40000,200000,IQD,,200000,206000,PAID,Cash on Hands,HQ,
DOC000161,2,2026-05-14,حذيفة عماد,470,DOC000161,EXPENSE,مكيالة ستنلس ستيل,EQUIPMENT,,,,1,piece,6000,6000,IQD,,6000,206000,PAID,Cash on Hands,HQ,
DOC000162,1,2026-05-25,نجيرفان ماموستيان,بدون فاتورة,DOC000162,ASSET,محمصة كاليدو ام 10,EQUIPMENT,,KALDI-M10,Production equipment,1,piece,1000,1000,USD,1531,1531000,1531000,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 1000.
DOC000163,1,2026-06-04,اوس اكثم,1551,DOC000163,ASSET,هولدر كوب ورقي,EQUIPMENT,,DOC000163-01,Furniture & fixtures,1,piece,840000,840000,IQD,,840000,840000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000164,1,2026-06-10,ابو مصطفى,بدون فاتورة,DOC000164,EXPENSE,عمل ساحبة هواء للمحمصة,MAINTENANCE,,,,1,piece,50000,50000,IQD,,50000,50000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000165,1,2026-06-10,عقارات نعمان عولا حاجى,NO-INVOICE-DOC000165,DOC000165,SERVICE,دفع ايجار المحل,RENT,,,,1,piece,200000,200000,IQD,,200000,200000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000166,1,2026-06-09,اسيا سيل,NO-INVOICE-DOC000166,DOC000166,SERVICE,شراء سيم كارد,UTILITIES,,,,1,piece,23000,23000,IQD,,23000,23000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000167,1,2026-06-09,عقارات جراى زين,NO-INVOICE-DOC000167,DOC000167,SERVICE,دفع ايجار المحل,RENT,,,,1,piece,250000,250000,IQD,,250000,250000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000168,1,2026-06-15,نجيرفان ماموستيان,بدون فاتورة,DOC000168,ASSET,محمصة كاليدو ام 10,EQUIPMENT,,KALDI-M10,Production equipment,1,piece,3309000,3309000,IQD,,3309000,3309000,PAID,Cash on Hands,HQ,
